participant,video_id,band,frontal_asymmetry,parietal_mean,negativity_rating,positivity_rating,net_predisposition_rating,negativity_type,positivity_type,net_predisposition_type
AY9SI,mar,beta,-1.0510130895714909,40.05980022206472,4.365625,6.503125,3.5781250000000004,LN,HP,LNP
AY9SI,mar,gamma,-1.0609958330700735,33.176851201122744,4.365625,6.503125,3.5781250000000004,LN,HP,LNP
AY9SI,tsl,delta,-0.33125809173540244,2.277169711286895,3.79375,5.734375,3.6625,LN,HP,LNP
AY9SI,tsl,theta,0.5665790544123634,10.037938507987539,3.79375,5.734375,3.6625,LN,HP,LNP
AY9SI,tsl,alpha,-1.1593140851702568,11.744920237037794,3.79375,5.734375,3.6625,LN,HP,LNP
AY9SI,tsl,beta,1.3111332920272432,39.876468834713165,3.79375,5.734375,3.6625,LN,HP,LNP
AY9SI,tsl,gamma,-0.6651745171964478,34.71072401240203,3.79375,5.734375,3.6625,LN,HP,LNP
AY9SI,blf,delta,0.33369293078142515,1.988688243111771,4.553125,7.45,6.221875,LN,HP,HNP
AY9SI,blf,theta,0.274439414424581,9.558076250174388,4.553125,7.45,6.221875,LN,HP,HNP
AY9SI,blf,alpha,1.5578830257096605,11.353171581175081,4.553125,7.45,6.221875,LN,HP,HNP
AY9SI,blf,beta,-1.7028804290034358,39.577886601551924,4.553125,7.45,6.221875,LN,HP,HNP
AY9SI,blf,gamma,-0.6169079736860539,35.98531007246888,4.553125,7.45,6.221875,LN,HP,HNP
AY9SI,dph,delta,0.07380027039223824,2.2614360236070254,8.425,2.715625,7.590625,HN,LP,HNP
AY9SI,dph,theta,-1.7759687883462316,11.003562413169336,8.425,2.715625,7.590625,HN,LP,HNP
AY9SI,dph,alpha,0.13482366425308356,10.9106296112856,8.425,2.715625,7.590625,HN,LP,HNP
AY9SI,dph,beta,0.8314466240334895,39.22757870135587,8.425,2.715625,7.590625,HN,LP,HNP
AY9SI,dph,gamma,0.9081588422162099,35.099099660289866,8.425,2.715625,7.590625,HN,LP,HNP
AY9SI,gam,delta,-0.5287566240123351,1.980875403781798,4.375,6.49375,5.359375,LN,HP,HNP
AY9SI,gam,theta,0.09871648887588691,10.834338730619429,4.375,6.49375,5.359375,LN,HP,HNP
AY9SI,gam,alpha,-1.3678444923243323,11.93853596825031,4.375,6.49375,5.359375,LN,HP,HNP
AY9SI,gam,beta,-1.043362790845805,40.64479829950627,4.375,6.49375,5.359375,LN,HP,HNP
AY9SI,gam,gamma,2.5531866960502256,33.365665005291135,4.375,6.49375,5.359375,LN,HP,HNP
AY9SI,cah,delta,0.019406440951581283,2.16591352834815,6.71875,5.359375,7.328125,HN,HP,HNP
AY9SI,cah,theta,-0.13427659751308596,9.968038502974503,6.71875,5.359375,7.328125,HN,HP,HNP
AY9SI,cah,alpha,-0.6471240962219369,10.864120513019962,6.71875,5.359375,7.328125,HN,HP,HNP
